algo,metric,value
ecdsa-P-384,verify-wall-ci95lo-ns,409878.8
ecdsa-P-384,verify-wall-ci95hi-ns,410099.2
ecdsa-P-384,verify-cyc-median,1101316.0
ecdsa-P-384,verify-cyc-mean,1101991.8
ecdsa-P-384,verify-persec,2440.6
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-521,keygen-iters,200
ecdsa-P-521,keygen-wall-median-ns,1105042.0
ecdsa-P-521,keygen-wall-mean-ns,1109783.9
ecdsa-P-521,keygen-wall-std-ns,15148.9
ecdsa-P-521,keygen-wall-p95-ns,1156774.0
ecdsa-P-521,keygen-wall-p99-ns,1172151.0
ecdsa-P-521,keygen-wall-ci95lo-ns,1107684.4
ecdsa-P-521,keygen-wall-ci95hi-ns,1111883.4
ecdsa-P-521,keygen-cyc-median,2970292.0
ecdsa-P-521,keygen-cyc-mean,2983029.1
ecdsa-P-521,keygen-persec,904.9
ecdsa-P-521,sign-iters,2000
ecdsa-P-521,sign-wall-median-ns,1160638.0
ecdsa-P-521,sign-wall-mean-ns,1161348.5
ecdsa-P-521,sign-wall-std-ns,4497.7
ecdsa-P-521,sign-wall-p95-ns,1167525.0
ecdsa-P-521,sign-wall-p99-ns,1179209.0
ecdsa-P-521,sign-wall-ci95lo-ns,1161151.4
ecdsa-P-521,sign-wall-ci95hi-ns,1161545.6
ecdsa-P-521,sign-cyc-median,3119732.0
ecdsa-P-521,sign-cyc-mean,3121638.8
ecdsa-P-521,sign-persec,861.6
ecdsa-P-521,verify-iters,2000
ecdsa-P-521,verify-wall-median-ns,921400.0
ecdsa-P-521,verify-wall-mean-ns,922017.6
ecdsa-P-521,verify-wall-std-ns,4245.0
ecdsa-P-521,verify-wall-p95-ns,927781.0
ecdsa-P-521,verify-wall-p99-ns,936575.0
ecdsa-P-521,verify-wall-ci95lo-ns,921831.5
ecdsa-P-521,verify-wall-ci95hi-ns,922203.6
ecdsa-P-521,verify-cyc-median,2476650.0
ecdsa-P-521,verify-cyc-mean,2478312.0
ecdsa-P-521,verify-persec,1085.3
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdh-P-256,keygen-iters,200
ecdh-P-256,keygen-wall-median-ns,25028.0
ecdh-P-256,keygen-wall-mean-ns,23984.7
ecdh-P-256,keygen-wall-std-ns,7753.0
ecdh-P-256,keygen-wall-p95-ns,26709.0
ecdh-P-256,keygen-wall-p99-ns,33399.0
ecdh-P-256,keygen-wall-ci95lo-ns,22910.2
ecdh-P-256,keygen-wall-ci95hi-ns,25059.2
ecdh-P-256,keygen-cyc-median,66976.0
ecdh-P-256,keygen-cyc-mean,64194.0
ecdh-P-256,keygen-persec,39955.3
ecdh-P-256,derive-iters,2000
ecdh-P-256,derive-wall-median-ns,40369.0
ecdh-P-256,derive-wall-mean-ns,40520.5
ecdh-P-256,derive-wall-std-ns,929.0
ecdh-P-256,derive-wall-p95-ns,41707.0
ecdh-P-256,derive-wall-p99-ns,43329.0
ecdh-P-256,derive-wall-ci95lo-ns,40479.7
ecdh-P-256,derive-wall-ci95hi-ns,40561.2
ecdh-P-256,derive-cyc-median,108454.0
ecdh-P-256,derive-cyc-mean,108859.9
ecdh-P-256,derive-persec,24771.5
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,200
ecdh-P-384,keygen-wall-median-ns,468941.0
ecdh-P-384,keygen-wall-mean-ns,470474.5
ecdh-P-384,keygen-wall-std-ns,6071.8
ecdh-P-384,keygen-wall-p95-ns,479144.0
ecdh-P-384,keygen-wall-p99-ns,499394.0
ecdh-P-384,keygen-wall-ci95lo-ns,469633.0
ecdh-P-384,keygen-wall-ci95hi-ns,471316.1
